1,白ワインとなる葡萄の品種は？,シャルドネ,カベルネソーヴィニヨン,シラーズ,ガメイ,1,シャルドネは白ワイン用葡萄種として、世界一の消費量を誇ります。,ワイン
2,ボジョレ・ヌーヴォだけじゃない！解禁日のあるワインがある国は？,ドイツ,イタリア,スペイン,ポルトガル,2,ヴィーノ・ノベッロと言われ、毎年１０月３０日が解禁日となります。イタリア産オリーブオイルの新物オイルも、ノベッロと言われるものがあります(解禁日はありません）。,ワイン
3,イタリアのワインで”ワインの王様”と言われるものは？,キャンティ,バルバレスコ,バローロ,ランブルスコ,3,イタリアのピエモンテ州南部に存在するバローロ村および周辺の地域で生産された、赤ワインです。長期間熟成されアルコール度数が高く、重厚な味わいです。,ワイン
4,イタリアのワインで”ワインの女王”と言われるものは？,バローロ,アマローネ,ネッビオーロ,バルバレスコ,4,イタリアのピエモンテ州南部にあるバルバレスコ地域で製造されています。その味わいは優雅で複雑なアロマを有し、ワインの女王として人気を博しています。,ワイン
5,”ボルドー”と”ブルゴーニュ”に並ぶ、フランスワイン三大産地のひとつは？,シャンパーニュ,ロワール,プロヴァンス,シャンパーニュ,1,シャンパンの産地。シャンパーニュ地方で作られた発泡ワインのみ、シャンパンと呼ばれます。シャンパンと同じ製法の、スペインのカバも知られています。,ワイン
6,国産ワインの原料で、一番使用されるぶどう品種は？,マスカット・ベーリーA,甲州,ナイアガラ,シャルドネ,2,国産ワインの黎明期に”最もワインに適さない葡萄種”と言われた甲州は、品種改良により、最も使用される葡萄種へと育ちました。,ワイン
7,山梨県・長野県・北海道に次ぐ、国産ワイン生産県は？,栃木県,岡山県,山形県,新潟県,3,約１４０年前に近代国産ワインの製造が始まりますが、山形県のワイン生産もその頃から始まっています。,ワイン
8,”日本ワイン”と呼称されるのは、国産原料を何％使用したもの？,７０％,８０％,９０％,１００％,4,日本産ワインの普及を目指し、２０１８年に制度が制定されました。,ワイン
9,海外でも評価が上がる国産ワインが、合うと言われる食材は？,魚介類,畜肉類,山菜類,果実類,1,天ぷらに良く合うと、言われています。ワインのみでも楽しめる味わいと、ここ数年で外国人からの人気が急上昇しています。,ワイン
10,ドラマ”マッサン”のモデルが、最初に生産・販売したワインの原料は？,チェリーワイン,リンゴワイン,パイナップルワイン,たんぽぽワイン,2,最初はリンゴジュース製造から始まりました。ウイスキー製造の資金を得るために製造販売されました。,ワイン
11,日本酒の原料”酒米”、”山田錦”と並ぶ二大酒米の品種は？,美山錦,雄町,五百万石,出羽燦々,3,様々な素晴らしい酒米も開発されていますが、主に山田錦・五百万石 そして美山錦・雄町・出羽燦々の５種が使用されています。,酒
